name,score,category,price,address,province,review count,description images
Lăng Đồng Khánh,4.5,Địa điểm lịch sử,Không có giá,"CHH9+XXH, Đoàn Nhữ Hải, Thủy Xuân, Huế, Thừa Thiên Huế",Thừa Thiên Huế,257,"https://lh3.googleusercontent.com/p/AF1QipNrMha6vklkzqyFTO5RFsYTKvr0JXsB9MJalmNA, https://lh3.googleusercontent.com/p/AF1QipPpV8XH-cKSpaIo_iHQiXa2TJzj5Z2iGW27wGuU, "
Lăng Thiệu Trị,4.3,Địa điểm lịch sử,Không có giá,"CH9F+42V, Thủy Bằng, Hương Thủy, Thừa Thiên Huế",Thừa Thiên Huế,410,"https://lh3.googleusercontent.com/p/AF1QipMGFcr4gI38qq4oxioR15fUYkjK1UHIH8MV1V_j, https://lh3.googleusercontent.com/p/AF1QipMcNwn8_fyJOQATLAcqhnTd3hVgx3CkrXD6IKCL, "
Tân Cảnh Dương (Điểm Cắm Trại Lý Tưởng),4.2,Bãi biển,Không có giá,"Lộc Vĩnh, Phú Lộc, Thừa Thiên Huế",Thừa Thiên Huế,868,"https://lh3.googleusercontent.com/p/AF1QipOEfx6EcA_xcBxcu66OKHlVJJX57jMGzoqMkEYn, https://lh3.googleusercontent.com/p/AF1QipMkJdSavm1yqF1Yrh2g-SHE0nm6H1X_7tIJMB0k, "
Thác Đỗ Quyên,4.7,Thắng cảnh,Không có giá,"5RPX+CGH, Lộc Trì, Phú Lộc, Thừa Thiên Huế",Thừa Thiên Huế,148,"https://lh3.googleusercontent.com/p/AF1QipNvkFjKtXpnk-oF5yshhd7SLCcuxtAoxOkmlm2Q, https://lh3.googleusercontent.com/p/AF1QipNqHuJ_4Nx8Vefh-Vb1eyfim-gpgYV480YqPNZw, "
Thác Anor,4.6,Thắng cảnh,Không có giá,"8658+MPH, Hồng Kim, A Lưới, Thừa Thiên Huế",Thừa Thiên Huế,188,"https://lh3.googleusercontent.com/p/AF1QipNPVqN-6NvSlx7X9WN8xmckROIlAdA9WnGuKt1O, https://lh3.googleusercontent.com/p/AF1QipOGIOFjJUj_EaslimT13EI6RA0y6-T8ka1BVgdK, "
InterContinental Danang Sun Peninsula Resort,4.9,Khách sạn nghỉ dưỡng,Không có giá,Không có địa chỉ cụ thể,Thừa Thiên Huế,không có đánh giá,"https://lh3.googleusercontent.com/p/AF1QipMsDix6glzL6XkUWcF-dR5jtp_PFAg9CruIqMA_, https://lh3.googleusercontent.com/p/AF1QipP-i8wnLV2APpLkoO_wkgbHJBFTsxEKxcjP335R, "
Thuận An Beach,4.2,Bãi biển,Không có giá,"Hải Tiến, Phú Vang, Thừa Thiên Huế",Thừa Thiên Huế,158,"//lh3.googleusercontent.com/proxy/5eVDaH1M8G2yZ4j7rbM2Xv1kOqwnSr5QXekLNS_p2H6whJRSRLS6BgE1Jb7yH0aYn8eMvRqQVaXKO2OhoHvtMWG9SL2O4KBL2CKm6JPZDJdXUjQr-BywPgbgdcTAq8uX3-JvZDLOdQSQk4kpvhVK36tsbzRnR7c, https://lh3.googleusercontent.com/p/AF1QipPRIs_0bvsg4rulYlHuVEyITzJtXXxjaJpKsrk2, "
Hổ Quyền,4.1,Điểm mốc lịch sử,Không có giá,"373 Bùi Thị Xuân, Phường Đúc, Huế, Thừa Thiên Huế",Thừa Thiên Huế,314,"https://lh3.googleusercontent.com/p/AF1QipN_oNwuDfRidPZY5ZkcVAF9kkL1GgBodATXjOhq, https://lh3.googleusercontent.com/p/AF1QipOeRakFXig-pBe-1QZH3BlSPNejcAVHfaD8OTOv, "
Lăng Dục Ðức,4.3,Điểm mốc lịch sử,Không có giá,"FH2V+F5G, Phường Phước Vĩnh, Thành Phố Huế, Tỉnh Thừa Thiên Huế, An Cựu, Huế, Thừa Thiên Huế",Thừa Thiên Huế,72,"https://lh3.googleusercontent.com/p/AF1QipMQJ2rf6WIDhiM8UlI2UuQ430Rz2WYQeEV0n5fS, https://lh3.googleusercontent.com/p/AF1QipPEz6wxIfnYekdR9pEvY1TaJw4sJ8RGUHCJniE9, "
Bãi biển Vinh Thanh,4.1,Bãi biển,Không có giá,"Vinh Thanh, Phú Vang, Thừa Thiên Huế",Thừa Thiên Huế,303,"https://lh3.googleusercontent.com/p/AF1QipMWUJJlleytQznY-lJr9G4AytTafRSfPd6vVQWB, https://lh3.googleusercontent.com/p/AF1QipNwok2wKE9nKQVxfwQ--moarUvCCbVfJOJ5nAys, "
