hotel,price,score,avg review,reviews count,province
Grand Sunrise Palace Hoi An,VND 3.432.000,"Đạt điểm 9,7",Xuất sắc,1.418,Hội An
Green Island Villa Hoi An,VND 885.956,"Đạt điểm 8,3",Rất tốt,318,Hội An
Sweet Memories Villa - Hoi An,VND 354.237,"Đạt điểm 8,9",Tuyệt vời,24,Hội An
Eco Lux Riverside Hotel & Spa,VND 1.548.000,"Đạt điểm 8,8",Tuyệt vời,380,Hội An
Ivy Villa,VND 1.324.300,"Đạt điểm 9,2",Tuyệt hảo,275,Hội An
hoi an center town,VND 1.329.400,"Đạt điểm 9,6",Xuất sắc,862,Hội An
Nghê Prana Hotel and Spa Hoi An,VND 1.885.640,"Đạt điểm 9,3",Tuyệt hảo,995,Hội An
Hoi An Hai Au Boutique Hotel,VND 1.220.000,"Đạt điểm 8,1",Rất tốt,289,Hội An
Sophia Homestay Hoi An,VND 646.020,"Đạt điểm 9,7",Xuất sắc,114,Hội An
Elites Riverside Hotel & Spa Hoi An,VND 1.472.000,"Đạt điểm 9,2",Tuyệt hảo,125,Hội An
Ally Beach Boutique Hotel Hoian,VND 1.400.000,"Đạt điểm 8,7",Tuyệt vời,166,Hội An
RAON Hoian Beach,VND 1.046.974,"Đạt điểm 8,8",Tuyệt vời,174,Hội An
HOIANIAN CENTRAL VILLA,VND 959.400,"Đạt điểm 9,7",Xuất sắc,417,Hội An
Happy Town Hoi An,VND 300.000,"Đạt điểm 9,3",Tuyệt hảo,410,Hội An
Cua Dai Beach Homestay,VND 558.404,"Đạt điểm 9,1",Tuyệt hảo,196,Hội An
Hoi An Babylon Luxury Hotel & Spa,VND 2.997.000,"Đạt điểm 9,8",Xuất sắc,107,Hội An
La An Central Boutique Villa,VND 2.203.200,"Đạt điểm 9,0",Tuyệt hảo,1.124,Hội An
HANZ Business Suite Panorama Beach Condo Hotel,VND 1.428.000,Đạt điểm 10,Xuất sắc,5,Nha Trang
Lucky Sun Hotel,VND 770.640,"Đạt điểm 8,7",Tuyệt vời,1.600,Nha Trang
Azura Gold Hotel & Apartment,VND 672.000,"Đạt điểm 9,4",Tuyệt hảo,3.647,Nha Trang
Apus Hotel,VND 711.092,"Đạt điểm 8,4",Rất tốt,4.553,Nha Trang
Pavillon Boutique Hotel & Apartment Nha Trang,VND 737.200,"Đạt điểm 9,0",Tuyệt hảo,493,Nha Trang
Venue Hotel Nha Trang,VND 761.710,"Đạt điểm 8,3",Rất tốt,1.089,Nha Trang
The Summer Hotel,VND 720.000,"Đạt điểm 8,9",Tuyệt vời,155,Nha Trang
TND Hotel,VND 889.200,"Đạt điểm 8,8",Tuyệt vời,430,Nha Trang
Prime New Hotel,VND 686.400,"Đạt điểm 8,0",Rất tốt,1.191,Nha Trang
Sochi Hotel,VND 649.800,"Đạt điểm 8,0",Rất tốt,438,Nha Trang
La Sera Hotel,VND 633.600,"Đạt điểm 8,1",Rất tốt,1.593,Nha Trang
Happy Light Central Nha Trang,VND 877.400,"Đạt điểm 7,7",Tốt,340,Nha Trang
Seven Seas Hotel Nha Trang,VND 613.040,"Đạt điểm 8,7",Tuyệt vời,233,Nha Trang
Balcony Nha Trang Hotel,VND 602.650,"Đạt điểm 8,3",Rất tốt,162,Nha Trang
Virgo Hotel Nha Trang,VND 1.513.217,"Đạt điểm 9,0",Tuyệt hảo,1.103,Nha Trang
LE SOLEIL HOTEL managed by NEST Group,VND 399.000,"Đạt điểm 7,9",Tốt,453,Nha Trang
Pavillon Garden Hotel & Spa Nha Trang,VND 532.000,"Đạt điểm 8,4",Rất tốt,1.782,Nha Trang
Zenia Boutique Hotel Nha Trang,VND 1.065.960,"Đạt điểm 8,8",Tuyệt vời,617,Nha Trang
VANDA Hotel Nha Trang,VND 407.000,"Đạt điểm 8,2",Rất tốt,564,Nha Trang
Putin Nha Trang Hotel,VND 640.000,"Đạt điểm 8,2",Rất tốt,1.451,Nha Trang
DTX Hotel Nha Trang,VND 1.108.889,"Đạt điểm 9,1",Tuyệt hảo,1.241,Nha Trang
Sun City Hotel,VND 582.800,"Đạt điểm 8,1",Rất tốt,334,Nha Trang
Paris Nha Trang Hotel,VND 925.900,"Đạt điểm 8,2",Rất tốt,195,Nha Trang
SeaScape Panorama Grand Resicedences Nha Trang,VND 2.030.000,"Đạt điểm 9,3",Tuyệt hảo,499,Nha Trang
Lanxy Hotel Nha Trang,VND 646.000,"Đạt điểm 8,5",Rất tốt,49,Nha Trang
