name,address,score,reviews count,province,category,price,services,description images,latitude,longitude
Bãi Rêu Nam Ô,"449J+526, Nam Ô 1, Liên Chiểu, Đà Nẵng, Việt Nam","4,5",235,Đà Nẵng,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipNKPWvZvM1opUuBVAAUCEEdRVyNHowhTUnmiztJ, https://lh5.googleusercontent.com/p/AF1QipMy7Fccw6PJOD8fiEg_vymwlS5IGZDfeu9wNGAx, https://lh5.googleusercontent.com/p/AF1QipOPSA-hUYT-piS9yGWRBm5CHjk_GuNOGp1cNNBc, https://lh5.googleusercontent.com/p/AF1QipNSeOJiF-rxPEgGNHScSl5Hu2ZTtpPzeDN3tD-w, ",16.11791,108.13001
Bay dù Đà Nẵng,"4724+GQ4, Hoàng Sa, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam","4,5",8,Đà Nẵng,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipO_GJ9eN5fu0u7B6-XSZL73TNYxhwSMaFeRpAjV, https://lh5.googleusercontent.com/p/AF1QipPpVah6DUT1uNewAQ7pOcgnHvHqVKkHpYutCpa6, https://lh5.googleusercontent.com/p/AF1QipMZkzI4EtU7MvEsp5F2b7OJk90YxDT2pcuk89Sd, https://lh5.googleusercontent.com/p/AF1QipORxliqHR54zOd_PzBwiV5zF3VgVYZuEvb_fF9w, ",16.10126,108.25695
Bãi Nam,"473X+VJ5, Hoàng Sa, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam","4,4",340,Đà Nẵng,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipNbg3Um0GIxZdxa5Z1eO0J5Qcp8ESkEHzAEjRcI, https://lh5.googleusercontent.com/p/AF1QipNqUrivl_mLikKj7ruIWU02u_hbzazrnFOPcuUX, https://lh5.googleusercontent.com/p/AF1QipNMaYAT8anqEUqxHMtasRkI99e8v0PB4GLkOQkZ, https://lh5.googleusercontent.com/p/AF1QipNf1qnwyfnCHLbHLOoIsK0eHxeVBbS4DOltI9jL, ",16.10465,108.29910
DHC Marina,"367H+PW4, Đ. Trần Hưng Đạo, An Hải, Sơn Trà, Đà Nẵng 550000, Việt Nam","4,1",249,Đà Nẵng,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipMgCRybB-RdvDI9Cbe52nQDgdo9AI3P1nRkcyOu, https://lh5.googleusercontent.com/p/AF1QipPChlEGtexVJNNuQeo6jlGQS0AsUI-ADpXPgnaf, https://lh5.googleusercontent.com/p/AF1QipNT69HA0tIElYK5MsMzu2ijc_SO6xcWX42rEXuO, https://lh5.googleusercontent.com/p/AF1QipOeeVH9vH570tCDf1UPALs3FixhADb_03EC6KbA, ",16.06425,108.22982
Di tích Thành Điện Hải,"36GC+HR5, Đ. Thành Điện Hải, Thạch Thang, Hải Châu, Đà Nẵng 550000, Việt Nam","4,6",38,Đà Nẵng,Bảo tồn di sản,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipNqmzEcCoQN6RpEvCXmVLFmsY06nLkj2UAWdBIR, https://lh5.googleusercontent.com/p/AF1QipPzPUaMDwcS2pAZPGkRqkV0Qo-zzalIIt5yS8Vl, https://lh5.googleusercontent.com/p/AF1QipPy1O7XKqpAWxlud6BPfRLmmgh_Mqr9RxySgl8, ",16.07639,108.22212
Làng Toom Sara Đà Nẵng,"Phú Túc, Hòa Vang, Đà Nẵng, Việt Nam","4,4",288,Đà Nẵng,None,"3,95 US$",,"https://lh5.googleusercontent.com/p/AF1QipP182rX3Gxw6zzq5yrS6vyJ4aJse-Ju39GrdebK, https://lh5.googleusercontent.com/p/AF1QipPmajH52HyeXtKkCpRkrS9i75D4RQ0yetywpFhW, https://lh5.googleusercontent.com/p/AF1QipOE_17Aq62dpJahOT-EOdGD8lkGr9YbkSxZW4OS, https://lh5.googleusercontent.com/p/AF1QipP2uAFbtIekJk_l2HElaAFqVKO11byyv_5y1H2c, ",15.95742,107.99497
Suối mơ khe răm,"43WH+G6R, Hoà Bắc, Hòa Vang, Đà Nẵng, Việt Nam","4,8",67,Đà Nẵng,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipOdh0mbkuuQS1kgQHDi6NMprCi5GtKWq3holHcp, https://lh5.googleusercontent.com/p/AF1QipO5svb0fWZ89PJS5vtI9RhgArDnAitGa3j7c3_6, https://lh5.googleusercontent.com/p/AF1QipPBXXlOaIYEGmf0axCqWMhlAz5gTw2wkAFxU4CP, https://lh5.googleusercontent.com/p/AF1QipO3z9FyzB4weFYWpE-WCtkdTrUE1MZ5NbCYOExf, ",16.14636,108.07801
Đỉnh núi Chúa,"XXXP+27M, Hoà Phú, Hòa Vang, Đà Nẵng, Việt Nam","4,6",116,Đà Nẵng,Địa danh,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipOTyy5kCGxCx9LUIm_F8tMZPVUXYCe0FhIgfXNM, https://lh5.googleusercontent.com/p/AF1QipNPWiAlHPiEdCF8Zea3rq6aaAmOcwJNsTC4moMV, https://lh5.googleusercontent.com/p/AF1QipMKr5vEMm41m8u1hotb8S8b6DtJCzWMWIvB2Uof, https://lh5.googleusercontent.com/p/AF1QipPvkij3WqY_EKEfjOFnMsSsCA33vtde5h37HZW7, ",15.99759,107.98568
Cầu Rồng,"29 Cầu Rồng, An Hải Trung, Sơn Trà, Đà Nẵng 550000, Việt Nam","4,6",1.012,Đà Nẵng,Cầu,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipMOwuRHUR22RVQrdAZ8ZgtsoPVfeR1hWpfeiyc3, https://lh5.googleusercontent.com/p/AF1QipPblFvX6P2xWjzt4J86Y3_1c4EFhqBfDnzMvzVT, https://lh5.googleusercontent.com/p/AF1QipNpNmNP64jys7r0VQu_QEoweu57nJ31Klv3qDsl, https://lh5.googleusercontent.com/p/AF1QipN9QZsDJUbrNvhtBlmj87fI66T5Yd67B3TX3rTL, ",16.06116,108.22957
Khu Du Lịch Sinh Thái Lái Thiêu,"Hoà Phú, Hòa Vang, Đà Nẵng, Việt Nam","3,8",193,Đà Nẵng,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipNRoSKm6NuaX1BSq37bLw1QbkoQRaq9sp9E2YY4, https://lh5.googleusercontent.com/p/AF1QipNLY8nUSUD-D3SuoI7HJi9YwJrzC1dwlysuW_c6, https://lh5.googleusercontent.com/p/AF1QipPG5MPVTVCtvREe9SIQtjht42P27bOT7OhTAcTJ, https://lh5.googleusercontent.com/p/AF1QipP-HylIOfyUUNyrkJN-ijATPuGLsOcVuQ5qW2eB, ",15.95620,107.97547
